No.,Time
2,0.064166
10,0.564757
12,0.872942
20,1.070767
24,1.592789
27,2.058217
28,2.058229
33,2.098655
34,2.09868
42,2.603829
44,3.127848
50,3.633438
55,4.167652
57,4.207766
58,4.207778
59,4.208457
60,4.210746
61,4.212645
67,4.217815
69,4.217827
70,4.217829
74,4.225724
75,4.225737
76,4.225739
77,4.228343
82,4.247759
83,4.247774
84,4.247775
85,4.247776
90,4.252638
92,4.263708
93,4.263717
94,4.263718
98,4.277626
111,5.083824
119,5.598129
121,6.113218
129,6.623701
130,6.792738
133,7.128752
139,7.67072
144,8.250617
154,8.747715
156,9.030678
158,9.043626
160,9.07798
164,9.210803
167,9.239808
168,9.313959
197,10.551959
199,10.788791
203,11.034
209,11.111806
211,11.16481
213,11.430067
215,11.430077
216,11.430087
217,11.430089
222,11.452079
227,11.469443
228,11.473678
231,11.484095
232,11.484104
238,11.498806
243,11.52499
246,11.649413
248,11.705199
250,11.909021
252,11.964823
254,11.984935
256,12.108895
258,12.128812
263,12.191861
265,12.228787
267,12.278892
269,12.311854
273,12.405071
276,12.485029
278,12.579215
279,12.579226
282,12.708793
284,12.744943
286,12.778848
289,12.919064
291,13.194959
292,13.194968
295,13.224859
297,13.234252
299,13.249812
301,13.271832
303,13.37487
304,13.374881
307,13.389809
309,13.395102
314,13.469944
317,13.518908
319,13.579395
320,13.579408
323,13.611818
326,13.79933
327,13.799339
330,13.808775
334,13.858929
338,13.865315
343,13.90477
348,13.994699
350,14.031923
351,14.038655
354,14.069835
355,14.069843
361,14.162769
363,14.166805
364,14.170051
370,14.202871
371,14.202879
397,14.318644
401,14.357708
402,14.36692
408,14.416956
411,14.416975
413,14.431845
415,14.456759
420,14.476748
428,14.502794
439,14.536713
451,14.596726
452,14.596734
468,14.723001
470,14.756757
472,14.829893
474,14.831703
476,14.891878
479,14.927265
481,14.942938
482,14.949721
484,14.962782
486,14.989754
488,15.016781
490,15.056787
492,15.089794
495,15.176868
497,15.191774
498,15.196679
501,15.202771
502,15.236736
505,15.366792
507,15.409821
509,15.41167
512,15.451841
514,15.457229
516,15.466996
519,15.496833
521,15.506725
522,15.511798
524,15.546802
527,15.576964
529,15.586769
531,15.643071
534,15.676895
535,15.676906
536,15.683073
537,15.683081
541,15.706777
544,15.747962
545,15.776785
546,15.782782
548,15.807831
550,15.842868
552,15.896828
554,15.916776
556,15.937286
559,15.946771
561,15.951762
563,15.962778
565,15.976943
566,16.069823
568,16.082811
570,16.122918
571,16.12699
579,16.197145
581,16.246801
583,16.262829
585,16.322862
588,16.35673
589,16.357477
592,16.366721
595,16.403263
600,16.482866
602,16.496763
604,16.529794
606,16.547488
608,16.596842
610,16.603062
612,16.867038
613,16.867052
614,16.867053
615,16.867054
616,16.867056
617,16.867057
618,16.867058
619,16.871716
628,16.876987
630,16.889756
633,16.896744
635,16.906757
636,16.906764
637,16.90995
641,16.923054
642,16.923065
645,16.926945
647,16.943139
649,16.963146
650,16.963157
653,16.968104
655,17.091887
657,17.142867
658,17.147001
661,17.151887
664,17.237929
665,17.237939
667,17.317058
669,17.376848
671,17.402927
672,17.402938
673,17.40294
678,17.449851
683,17.486773
686,17.526767
688,17.537177
690,17.546998
692,17.562854
694,17.61679
697,17.666801
701,17.696931
703,17.722861
706,17.78703
708,17.803082
710,17.830148
712,17.842816
714,17.863173
716,17.963224
718,17.982829
720,18.016844
723,18.049805
725,18.066827
726,18.109927
728,18.166791
730,18.186767
732,18.206805
734,18.222854
736,18.262905
738,18.287948
740,18.316858
742,18.336864
744,18.387011
746,18.426841
748,18.449788
750,18.477294
752,18.516858
755,18.568111
757,18.592538
758,18.612029
760,18.622977
762,18.643064
764,18.656994
766,18.716824
769,18.777167
771,18.786809
772,18.789694
775,18.796703
776,18.822838
778,18.842845
780,18.887136
782,18.903099
784,18.962937
785,18.96295
788,18.996778
790,19.002795
792,19.04286
796,19.067027
798,19.077379
801,19.096867
803,19.102793
805,19.12679
807,19.131794
808,19.132357
811,19.146736
813,19.166751
815,19.171808
819,19.247007
821,19.262873
822,19.262883
825,19.276948
828,19.303155
830,19.327019
832,19.362869
837,19.383
839,19.391738
842,19.402807
846,19.4318
847,19.431811
856,19.491949
858,19.55687
862,19.589791
864,19.60284
866,19.606735
868,19.611715
870,19.642872
872,19.662903
875,19.666731
878,19.702901
879,19.702912
882,19.716856
887,19.742954
889,19.766843
891,19.803095
892,19.809739
896,19.816731
897,19.827156
901,19.851817
902,19.851828
903,19.856732
906,19.866721
907,19.87175
913,19.956949
914,19.967094
915,19.969732
918,20.016848
921,20.082877
923,20.102894
926,20.126838
927,20.126849
930,20.156781
934,20.186839
935,20.216862
938,20.283072
940,20.343288
943,20.371758
945,20.402883
948,20.416895
956,20.542854
958,20.56681
959,20.56737
964,20.610831
966,20.622823
972,20.736911
975,20.757034
977,20.782903
979,20.862813
981,20.871721
983,20.882749
987,20.906791
988,20.931754
990,20.970106
992,21.007317
993,21.037051
996,21.050034
999,21.076968
1000,21.091819
1001,21.102909
1010,21.176864
1011,21.19234
1013,21.25016
1015,21.303143
1016,21.303155
1020,21.362913
1021,21.362925
1023,21.431931
1026,21.457535
1028,21.487011
1029,21.487024
1031,21.509866
1033,21.522996
1036,21.587106
1037,21.592083
1038,21.592092
1041,21.626819
1044,21.682995
1046,21.687001
1048,21.702984
1050,21.722934
1051,21.726957
1054,21.817145
1055,21.837242
1057,21.846826
1060,21.862851
1062,21.886884
1063,21.906945
1066,21.957187
1067,21.966882
1070,22.002994
1072,22.037346
1074,22.042811
1076,22.111929
1078,22.116723
1080,22.156929
1083,22.203191
1084,22.203203
1085,22.211905
1086,22.211918
1089,22.257119
1091,22.262794
1094,22.303028
1095,22.306962
1098,22.329826
1100,22.366854
1102,22.403279
1103,22.406861
1104,22.40687
1109,22.477238
1111,22.492018
1113,22.507029
1115,22.529975
1117,22.542925
1120,22.589913
1123,22.622963
1124,22.626746
1126,22.663002
1129,22.703273
1130,22.717014
1131,22.722974
1134,22.790934
1136,22.802915
1138,22.826948
1140,22.937052
1141,22.962873
1143,22.98302
1146,23.023522
1147,23.029869
1150,23.126887
1151,23.129828
1153,23.149989
1157,23.18732
1159,23.207196
1160,23.223054
1162,23.291842
1164,23.311913
1166,23.342955
1167,23.352386
1169,23.382974
1170,23.389846
1177,23.446869
1185,23.476835
1187,23.503073
1190,23.526864
1191,23.536942
1194,23.542966
1197,23.562993
1198,23.582957
1199,23.604194
1202,23.646941
1205,23.682936
1208,23.68678
1209,23.691783
1211,23.718002
1212,23.728143
1214,23.742891
1215,23.742902
1218,23.772042
1219,23.789955
1222,23.836903
1224,23.852116
1225,23.882977
1228,23.897928
1230,23.937778
1232,23.951978
1234,23.971827
1236,23.987347
1238,24.017372
1240,24.029855
1243,24.057092
1244,24.071923
1246,24.091009
1247,24.117013
1254,24.18312
1255,24.183133
1259,24.213005
1262,24.231706
1263,24.236772
1267,24.256982
1269,24.256984
1275,24.276986
1285,24.311886
1291,24.337366
1294,24.342883
1297,24.377145
1304,24.424982
1306,24.449894
1307,24.450699
1311,24.537103
1313,24.571951
1315,24.586849
1317,24.589731
1319,24.616913
1322,24.757062
1324,24.762844
1326,24.782905
1327,24.782913
1330,25.027099
1331,25.027101
1332,25.027103
1333,25.027105
1334,25.027106
1335,25.027108
1336,25.02711
1337,25.027116
1346,25.036969
1348,25.056934
1349,25.062854
1350,25.062859
1354,25.076782
1355,25.082692
1358,25.102814
1360,25.1468
1362,25.169897
1364,25.222916
1366,25.266851
1368,25.2829
1369,25.282908
1379,25.326913
1390,25.376908
1392,25.457901
1396,25.496786
1398,25.537037
1400,25.542832
1402,25.566898
1404,25.596894
1406,25.646767
1408,25.669901
1410,25.683039
1412,25.696742
1414,25.706792
1416,25.806859
1418,25.84294
1419,25.842949
1422,25.862862
1424,25.889906
1425,25.896942
1433,26.023067
1434,26.023077
1435,26.02308
1436,26.023082
1437,26.031846
1439,26.042761
1442,26.092949
1443,26.092958
1446,26.112337
1448,26.307043
1449,26.307053
1452,26.322833
1453,26.322843
1456,26.336901
1457,26.336908
1460,26.34678
1462,26.382835
1465,26.467855
1466,26.467864
1470,26.526913
1471,26.526922
1474,26.567287
1476,26.58695
1478,26.617859
1480,26.651779
1482,26.7299
1484,26.742795
1486,26.776854
1488,26.786831
1490,26.791726
1492,26.946906
1493,26.946916
1496,26.962948
1498,26.986941
1500,27.007479
1502,27.042994
1504,27.064944
1506,27.136877
1507,27.136885
1510,27.216763
1512,27.306903
1514,27.349794
1516,27.362867
1518,27.369899
1519,27.37678
1524,27.486843
1526,27.551821
1527,27.556791
1530,27.57303
1532,27.746858
1534,27.762896
1536,27.771831
1538,27.78981
1540,27.857032
1542,28.067021
1543,28.06703
1544,28.067031
1545,28.067032
1546,28.067033
1552,28.077293
1554,28.083033
1556,28.103062
1561,28.163083
1563,28.183052
1565,28.202912
1567,28.249873
1569,28.327908
1572,28.397924
1575,28.426819
1580,28.502918
1582,28.553052
1584,28.576941
1585,28.576952
1588,28.707049
1590,28.791787
1592,28.816921
1595,28.89469
1597,28.916745
1599,28.9769
1602,29.18748
1603,29.187489
1604,29.187491
1608,29.207883
1611,29.230043
1613,29.242826
1615,29.287877
1617,29.376994
1619,29.456927
1623,29.5028
1625,29.833205
1626,29.833218
1627,29.833221
1628,29.833223
1633,29.843029
1635,29.857293
1637,29.927942
1638,29.929751
1641,29.962901
1643,30.022982
1645,30.272636
1646,30.272648
1647,30.27265
1651,30.297348
1653,30.3029
1655,30.466993
1657,30.562925
1659,30.793133
1660,30.793145
1663,30.822867
1665,30.882836
1671,31.196956
1673,31.202872
1676,31.238846
1678,31.371915
1684,31.683248
1686,31.712567
1688,31.723839
1693,32.217017
1700,32.72687
1703,33.248052
1707,33.777312
1718,34.258145
1719,34.317258
1722,34.50808
1726,34.783173
1736,35.06798
1745,35.277306
1746,35.35688
1755,35.80324
1756,35.817412
1758,36.067012
1760,36.083075
1772,36.312469
1776,36.70711
1779,36.826876
1785,37.343094
1789,37.827686
1790,37.8277
1791,37.827701
1792,37.827702
1793,37.827704
1801,37.878432
1802,37.878436
1811,37.947916
1813,38.007911
1815,38.066906
1816,38.066914
1817,38.131936
1818,38.131945
1819,38.163095
1821,38.202904
1822,38.202914
1823,38.21187
1824,38.21188
1825,38.266894
1826,38.266903
1827,38.330537
1829,38.397354
1830,38.433261
1831,38.462882
1834,38.571979
1836,38.597718
1837,38.642939
1838,38.662999
1839,38.726946
1840,38.792057
1842,38.843418
1843,38.857279
1844,38.926935
1845,38.99197
1847,39.056881
1848,39.082925
1849,39.123019
1851,39.189855
1854,39.256932
1855,39.277237
1856,39.323081
1857,39.387327
1861,39.457129
1862,39.496892
1863,39.523378
1864,39.586843
